State/UT,Capital,Lat,Long,Number of constituencies-2009,Number of constituencies-2014,Number of electors-2009,Number of electors-2014,Number of votes polled-2009,Number of votes polled-2014,Number of valid votes polled-2009,Number of valid votes polled-2014,Percentage of votes polled-2009,Percentage of votes polled-2014
Andhra Pradesh,Amravathi,16.572,80.357,42,42,57892259,64934138,42048269,48467721,42009025,48026634,72.63,74.6
Arunachal Pradesh,Itanagar,27.069,93.550,2,2,734541,759344,500642,600828,500583,590635,68.16,79.1
Assam,Dispur,26.143,91.789,14,14,17470329,18837713,12147016,15092387,12138945,14938826,69.53,80.1
Bihar,Patna,25.594,85.137,40,40,54505246,63800160,24235476,35892459,24230877,35304368,44.46,56.3
Chattisgarh,Raiput,21.251,81.629,11,11,15476577,17664520,8555661,12256962,8553561,12030690,55.28,69.4
Goa,Panjim,15.117,74.123,2,2,1020794,1060777,564255,817440,564071,806897,55.28,77.1
Gujarat,Gandhinagar,23.215,72.636,26,26,36484281,40603104,17476088,25849655,17472323,25369118,47.9,63.7
Haryana,Chandigarh,30.733,76.779,10,10,12087710,16097233,8157676,11501251,8154018,11460931,67.49,71.4
Himachal Pradesh,Shimla,31.104,77.173,4,4,4606674,4810071,2690850,3100199,2689567,3069345,58.41,64.5
Jammu & Kashmir,Jammu,32.726,74.857,6,6,6572896,7183129,2607880,3571537,2605966,3535313,39.68,49.7
Jharkhand,Ranchi,23.344,85.309,14,14,17934095,20349796,9142173,12986625,9135434,12792013,50.98,63.8
Karnataka,Bengaluru,12.971,77.594,28,28,41790939,46209813,24575813,31053583,24567178,30780980,58.81,67.2
Kerala,Thiruvananthapuram,8.524,76.936,20,20,21859536,24326650,16036873,17987124,16030249,17765332,73.36,73.9
Madhya Pradesh,Bhopal,23.259,77.412,29,29,38085179,48121301,19486218,29648105,19482195,29247970,51.16,61.6
Maharashtra,Mumbai,19.076,72.877,48,48,72954058,80798823,36995037,48740403,36978848,48284248,50.71,60.3
Manipur,Imphal,24.781,93.967,2,2,1736251,1774369,1339399,1415131,1336489,1405132,77.14,79.8
Meghalaya,Shillong,25.578,91.893,2,2,1277739,1567241,822566,1078295,822518,1047913,64.38,68.8
Mizoram,Aizawal,23.721,92.717,1,1,629374,702170,325991,434962,325558,426706,51.8,61.9
Nagaland,Kohima,25.658,94.105,1,1,1321878,1182972,1189601,1039962,1189460,1036214,89.99,87.9
Odisha,Bhubaneshwar,20.296,85.824,21,21,27194864,29196045,17767143,21542724,17757104,21196117,65.33,73.8
Punjab,Chandigarh,30.733,76.779,13,13,16958380,19608161,11832306,13849496,11827727,13786378,69.77,70.6
Rajasthan,Jaipur,26.912,75.787,25,25,37060011,42994657,17935280,27133776,17924439,26782731,48.4,63.1
Sikkim,Gangtok,27.338,88.606,1,1,300584,370770,251776,310095,251253,304635,83.76,83.6
Tamil Nadu,Chennai,13.082,80.271,39,39,41620460,55114867,30397137,40644282,30383034,40025367,73.03,73.7
Tripura,Agartala,23.832,91.287,2,2,2082265,2388822,1758501,2028707,1756517,2000046,84.45,84.9
Uttar Pradesh,Lucknow,26.847,80.946,80,80,116006374,138810557,55430198,81118615,55402134,80500789,47.78,58.4
Uttarakhand,Dehradun,30.316,78.032,5,5,5887724,7127057,3140699,4395561,3134926,4343847,53.34,61.7
West Bengal,Kolkotta,22.573,88.364,42,42,52493168,62833113,42731483,51662564,42721172,51060534,81.4,82.2
Andaman & Nicobar Islands,Port Blair,11.740,92.658,1,1,265108,269360,170103,190346,170103,188764,64.16,70.7
Chandigarh,Chandigarh,30.733,76.779,1,1,524444,615214,343557,453462,343556,450349,65.51,73.7
Dadra & Nagar Haveli,Dadra ,20.322,72.966,1,1,150704,196597,110363,165324,110363,162324,73.23,84.1
Daman & Diu,Daman,20.397,72.832,1,1,95382,111827,68024,87233,68023,85917,71.32,78
Delhi,Delhi,28.481,77.187,7,7,11096854,12711164,5754256,8275146,5752950,8232076,51.85,65.1
Lakshadweep,Kavaratti,10.559,72.635,1,1,45983,49922,39498,43242,39498,43116,85.9,86.6
Puduchery,Pondicherry,11.913,79.814,1,1,762440,901357,608503,740053,607942,717749,79.81,82.1
